Date,Side,Price,Size,PnL,Reason,Balance
2025-12-18 18:00:00+00:00,WAIT,4361.10009765625,0.0000,0.000,BadNews(-0.199) | Prob:0.276 vs Thr:0.510,10000.000
2025-12-18 19:00:00+00:00,WAIT,4365.39990234375,0.0000,0.000,BearNews(-0.230) | Prob:0.276 vs Thr:0.520,10000.000
2025-12-18 20:00:00+00:00,WAIT,4363.0,0.0000,0.000,BearNews(-0.318) | Prob:0.262 vs Thr:0.520,10000.000
2025-12-18 21:00:00+00:00,WAIT,4363.0,0.0000,0.000,BearNews(-0.236) | Prob:0.171 vs Thr:0.520,10000.000
2025-12-18 22:00:00+00:00,WAIT,4363.89990234375,0.0000,0.000,BearNews(-0.303) | Prob:0.262 vs Thr:0.520,10000.000
2025-12-18 23:00:00+00:00,WAIT,4367.0,0.0000,0.000,BearNews(-0.229) | Prob:0.171 vs Thr:0.520,10000.000
2025-12-19 00:00:00+00:00,WAIT,4359.0,0.0000,0.000,BearNews(-0.243) | Prob:0.218 vs Thr:0.520,10000.000
2025-12-19 01:00:00+00:00,WAIT,4347.39990234375,0.0000,0.000,BadNews(-0.127) | Prob:0.185 vs Thr:0.510,10000.000
2025-12-19 02:00:00+00:00,WAIT,4344.0,0.0000,0.000,BearNews(-0.262) | Prob:0.365 vs Thr:0.520,10000.000
2025-12-19 03:00:00+00:00,WAIT,4346.2998046875,0.0000,0.000,BearNews(-0.254) | Prob:0.348 vs Thr:0.520,10000.000
2025-12-19 11:00:00+00:00,WAIT,4357.10009765625,0.0000,0.000,BadNews(-0.199) | Prob:0.127 vs Thr:0.510,10000.000
